PIR	SIZE	RNA_OVERLAP	promoter_genes	TPMs	ENCODE_merged
22_41048752_41055695	6943	noRNA	RP4-591N18.2	NA	1
22_41057886_41070256	12370	RNA	MKL1;RP5-1042K10.10;RP5-1042K10.13;SGSM3;RP4-591N18.2	16.89944549327;NA;NA;54.114262;NA	1
22_41076229_41084481	8252	noRNA	MKL1;RP5-1042K10.10;RP5-1042K10.13;SGSM3;SLC25A17;ST13;XPNPEP3	16.89944549327;NA;NA;54.114262;35.411312011146;305.588594;13.920468	1
22_41156470_41160769	4299	noRNA	MKL1;RP5-1042K10.10;RP5-1042K10.13;SGSM3	16.89944549327;NA;NA;54.114262	1
22_41168062_41175071	7009	noRNA	RP4-591N18.2	NA	0
22_41180136_41183511	3375	noRNA	MKL1;RP5-1042K10.10;RP5-1042K10.13;SGSM3	16.89944549327;NA;NA;54.114262	0
22_41234886_41242506	7620	noRNA	MKL1;RP5-1042K10.10;RP5-1042K10.13;SGSM3;RNU6-375P	16.89944549327;NA;NA;54.114262;NA	0
22_41242507_41250329	7822	RNA	L3MBTL2	24.517865	0
22_41282031_41286336	4305	noRNA	RNU6-375P;L3MBTL2	NA;24.517865	0
22_41313330_41317141	3811	RNA	RNU6-375P	NA	0
22_41318465_41321087	2622	noRNA	RP1-85F18.6;L3MBTL2	NA;24.517865	1
22_41321222_41324630	3408	noRNA	EP300;MIR1281;RP1-85F18.6	41.034;NA;NA	0
22_41347955_41355210	7255	noRNA	EP300;MIR1281;RNU6-375P;RP1-85F18.6	41.034;NA;NA;NA	0
22_41356363_41359210	2847	noRNA	EP300;MIR1281;RNU6-375P	41.034;NA;NA	0
22_41362779_41365400	2621	noRNA	RP1-85F18.6;L3MBTL2	NA;24.517865	0
22_41382461_41389266	6805	noRNA	L3MBTL2	24.517865	0
22_41505790_41514618	8828	RNA	RBX1	94.471232	0
22_41519291_41526888	7597	noRNA	RP1-85F18.6	NA	0
22_41537306_41541305	3999	noRNA	RBX1;L3MBTL2	94.471232;24.517865	0
22_41542590_41547087	4497	noRNA	RNU6-375P;RP1-85F18.6	NA;NA	0
22_41554508_41561273	6765	noRNA	DNAJB7;XPNPEP3;RP1-85F18.6	0.164723;13.920468;NA	0
22_41703580_41706728	3148	noRNA	ZC3H7B	42.377762	0
22_41784755_41794478	9723	RNA	POLR3H	39.842961	0
22_41794479_41806071	11592	RNA	ZC3H7B;ACO2;POLR3H	42.377762;64.240664;39.842961	1
22_41838846_41841356	2510	RNA	TEF	3.427965	0
22_41860671_41864683	4012	noRNA	DESI1;XRCC6	31.65383;587.25146	0
22_41867400_41869116	1716	noRNA	ACO2	64.240664	0
22_41869526_41884417	14891	RNA	ACO2	64.240664	1
22_41885648_41895014	9366	RNA	ACO2	64.240664	0
22_41895292_41898180	2888	noRNA	ACO2	64.240664	1
22_41902824_41906782	3958	RNA	ACO2	64.240664	1
22_41906783_41910025	3242	RNA	ZC3H7B;ACO2	42.377762;64.240664	0
22_41947959_41955963	8004	noRNA	ACO2;DESI1;XRCC6	64.240664;31.65383;587.25146	1
22_41959520_41964478	4958	noRNA	CSDC2;DESI1;XRCC6	2.69545;31.65383;587.25146	0
22_41982321_42000850	18529	RNA	ACO2	64.240664	1
22_42001725_42005399	3674	noRNA	DESI1;XRCC6	31.65383;587.25146	0
22_42056223_42060825	4602	noRNA	DESI1;XRCC6	31.65383;587.25146	0
22_42086623_42094085	7462	RNA	RP5-821D11.7;SREBF2	NA;109.46901032953	1
22_42094086_42094700	614	noRNA	CENPM	35.657435	0
22_42109133_42114129	4996	noRNA	MIR33A;SHISA8;SREBF2;CENPM	NA;0.292859;109.46901032953;35.657435	0
22_42144217_42147199	2982	noRNA	MIR33A;SHISA8;SREBF2	NA;0.292859;109.46901032953	0
22_42157671_42159214	1543	noRNA	RNU6ATAC22P	NA	1
22_42159215_42166372	7157	RNA	C22orf46;NHP2L1;MEI1	9.04907;NA;1.3014724	1
22_42166373_42172728	6355	noRNA	MIR33A;SHISA8;SREBF2	NA;0.292859;109.46901032953	0
22_42183232_42194211	10979	RNA	C22orf46;NHP2L1;NFAM1	9.04907;NA;0.202439	0
22_42252766_42258965	6199	noRNA	C22orf46;NHP2L1	9.04907;NA	1
22_42258966_42277128	18162	RNA	C22orf46;NHP2L1	9.04907;NA	0
22_42280849_42284926	4077	noRNA	C22orf46;NHP2L1	9.04907;NA	0
22_42286940_42293983	7043	RNA	DESI1;XRCC6;MEI1;MIR33A;SHISA8;SREBF2	31.65383;587.25146;1.3014724;NA;0.292859;109.46901032953	0
22_42293984_42295112	1128	noRNA	C22orf46;NHP2L1;MEI1	9.04907;NA;1.3014724	0
22_42346144_42360039	13895	RNA	FAM109B;snoU13;NDUFA6-AS1;NDUFA6;RP1-257I20.14;CYP2D7P;RP4-669P10.16	2.69261;NA;NA;110.34946;NA;NA;NA	1
22_42402078_42406402	4324	noRNA	RNU6ATAC22P;NFAM1	NA;0.202439	0
22_42412594_42421266	8672	noRNA	NDUFA6-AS1;NDUFA6;RP1-257I20.14;NFAM1;SHANK3	NA;110.34946;NA;0.202439;NA	0
22_42487939_42492702	4763	RNA	NFAM1	0.202439	0
22_42503525_42507201	3676	RNA	Sep-03	NA	0
22_42508961_42513162	4201	noRNA	CTA-250D10.23;MIR378I;TNFRSF13C;CENPM;Sep-03;NFAM1	NA;NA;0.408164;35.657435;NA;0.202439	1
22_42513163_42514716	1553	RNA	CENPM;Sep-03;NFAM1	35.657435;NA;0.202439	1
22_42514717_42529334	14617	RNA	Sep-03;NFAM1	NA;0.202439	0
22_42559527_42564203	4676	noRNA	NFAM1	0.202439	0
22_42564204_42568656	4452	RNA	NFAM1	0.202439	1
22_42568657_42570080	1423	RNA	NFAM1	0.202439	0
22_42576926_42581027	4101	noRNA	NFAM1	0.202439	0
22_42613935_42618285	4350	noRNA	CENPM;NAGA;FAM109B;snoU13;SMDT1;NFAM1	35.657435;14.99072;2.69261;NA;32.719432;0.202439	0
22_42636103_42641716	5613	noRNA	Sep-03;CYP2D7P;RP4-669P10.16	NA;NA;NA	0
22_42671104_42672209	1105	RNA	NFAM1	0.202439	0
22_42672210_42675788	3578	RNA	NFAM1	0.202439	1
22_42675789_42682719	6930	RNA	NFAM1	0.202439	1
22_42682720_42695897	13177	RNA	CTA-250D10.23;MIR378I;TNFRSF13C;NFAM1	NA;NA;0.408164;0.202439	1
22_42695898_42717495	21597	RNA	TCF20	21.2562044	1
22_42762502_42767201	4699	RNA	CENPM;FAM109B;snoU13;NDUFA6-AS1;NDUFA6;RP1-257I20.14;TCF20;NFAM1	35.657435;2.69261;NA;NA;110.34946;NA;21.2562044;0.202439	0
22_42768869_42770332	1463	RNA	NFAM1	0.202439	0
22_42770333_42775285	4952	noRNA	NDUFA6-AS1;NDUFA6;RP1-257I20.14	NA;110.34946;NA	1
22_42775286_42789108	13822	RNA	NAGA;FAM109B;snoU13;TCF20	14.99072;2.69261;NA;21.2562044	1
22_42789109_42800583	11474	RNA	CTA-250D10.19;SEPT3	NA;20.814476	1
22_42800584_42820682	20098	RNA	SMDT1	32.719432	0
22_42829037_42831058	2021	noRNA	CENPM;NDUFA6-AS1;NDUFA6;RP1-257I20.14;CYP2D7P;RP4-669P10.16;TCF20	35.657435;NA;110.34946;NA;NA;NA;21.2562044	1
22_42835046_42838273	3227	RNA	NAGA;FAM109B;snoU13;NDUFA6-AS1;NDUFA6;RP1-257I20.14;CYP2D7P;RP4-669P10.16;TCF20	14.99072;2.69261;NA;NA;110.34946;NA;NA;NA;21.2562044	0
22_42838274_42840755	2481	noRNA	CTA-250D10.23;MIR378I;TNFRSF13C;NAGA;NDUFA6-AS1;NDUFA6;RP1-257I20.14;TCF20	NA;NA;0.408164;14.99072;NA;110.34946;NA;21.2562044	1
22_42840756_42853398	12642	RNA	NDUFA6-AS1;NDUFA6;RP1-257I20.14;CYP2D7P;RP4-669P10.16;TCF20	NA;110.34946;NA;NA;NA;21.2562044	0
22_42853399_42858361	4962	RNA	RNU6ATAC22P;CENPM;NAGA;SMDT1;NDUFA6-AS1;NDUFA6;RP1-257I20.14;TCF20	NA;35.657435;14.99072;32.719432;NA;110.34946;NA;21.2562044	0
22_42858362_42862273	3911	noRNA	CENPM;Sep-03;FAM109B;snoU13;NDUFA6-AS1;NDUFA6;RP1-257I20.14;TCF20	35.657435;NA;2.69261;NA;NA;110.34946;NA;21.2562044	0
22_42865025_42868304	3279	noRNA	CENPM;CYP2D7P;RP4-669P10.16	35.657435;NA;NA	0
22_42868305_42871155	2850	RNA	CTA-250D10.23;MIR378I;TNFRSF13C;CENPM;Sep-03;NAGA;SMDT1;NDUFA6-AS1;NDUFA6;RP1-257I20.14;CYP2D7P;RP4-669P10.16;TCF20	NA;NA;0.408164;35.657435;NA;14.99072;32.719432;NA;110.34946;NA;NA;NA;21.2562044	1
22_42871156_42889626	18470	RNA	CTA-250D10.19;SEPT3;TCF20	NA;20.814476;21.2562044	0
22_42904407_42923407	19000	RNA	NDUFA6-AS1;NDUFA6;RP1-257I20.14	NA;110.34946;NA	1
22_42923408_42936558	13150	RNA	NDUFA6-AS1;NDUFA6;RP1-257I20.14	NA;110.34946;NA	1
22_43007514_43008405	891	noRNA	RRP7B	NA	0
22_43026105_43027309	1204	RNA	AL022476.2	NA	0
22_43032990_43036061	3071	RNA	NA	NA	0
22_43074307_43079142	4835	noRNA	AL022476.2	NA	0
22_43138227_43140604	2377	noRNA	AL022237.3;TTLL1	0.107097;3.656	0
22_43177113_43192504	15391	RNA	MCAT	14.969808	1
22_43195797_43199531	3734	noRNA	AL022476.2	NA	0
22_43200924_43213336	12412	RNA	ATP5L2;CYB5R3;CYB5R3;A4GALT;AL022476.2;AL022237.3;TTLL1	0.206954;81.872944;81.872944;4.822054;NA;0.107097;3.656	1
22_43231938_43237410	5472	RNA	CYB5R3	81.872944	0
22_43237818_43241259	3441	noRNA	ATP5L2;CYB5R3	0.206954;81.872944	0
22_43266684_43266978	294	noRNA	MCAT	14.969808	0
22_43269139_43277662	8523	noRNA	A4GALT;AL022237.3;TTLL1;BIK	4.822054;0.107097;3.656;1.5009	1
22_43277663_43278699	1036	RNA	CYB5R3;Z82214.3	81.872944;NA	0
22_43285054_43287984	2930	noRNA	AL022476.2	NA	0
22_43292627_43299117	6490	RNA	ATP5L2;CYB5R3	0.206954;81.872944	1
22_43301145_43303283	2138	noRNA	PACSIN2	51.120584	0
22_43331496_43338530	7034	noRNA	AL022237.3;TTLL1	0.107097;3.656	0
22_43356581_43362540	5959	noRNA	PACSIN2	51.120584	0
22_43400977_43409328	8351	noRNA	A4GALT	4.822054	1
22_43434688_43437393	2705	RNA	NA	NA	0
22_43437394_43454270	16876	RNA	POLDIP3;RNU12;A4GALT	58.8215117;NA;4.822054	1
22_43454271_43456625	2354	noRNA	NA	NA	1
22_43456626_43459087	2461	RNA	NA	NA	0
22_43463103_43467248	4145	noRNA	CYB5R3;NA	81.872944;NA	0
22_43467249_43480828	13579	RNA	POLDIP3;RNU12;A4GALT;NA	58.8215117;NA;4.822054;NA	0
22_43502606_43505846	3240	noRNA	POLDIP3;RNU12	58.8215117;NA	1
22_43527746_43529369	1623	noRNA	ATP5L2;CYB5R3	0.206954;81.872944	1
22_43529370_43533260	3890	RNA	A4GALT	4.822054	1
22_43622196_43623041	845	RNA	SCUBE1	1.0081585	1
22_43741184_43743221	2037	RNA	Z99756.1	NA	1
22_43779788_43790725	10937	RNA	Z99756.1	NA	1
22_43813984_43826636	12652	RNA	EFCAB6;RP3-388M5.9	0.7392554;NA	1
22_43851775_43863738	11963	RNA	EFCAB6;RP3-388M5.9	0.7392554;NA	0
22_43921529_43924139	2610	RNA	Z99756.1	NA	0
22_44036874_44038975	2101	noRNA	Z82214.2	NA	0
22_44137269_44141241	3972	RNA	Z82214.2;MPPED1	NA;0.0908497	1
22_44142165_44146076	3911	RNA	EFCAB6-AS1	NA	1
22_44146077_44151479	5402	noRNA	Z99756.1;MPPED1	NA;0.0908497	0
22_44169764_44177988	8224	noRNA	EFCAB6-AS1	NA	0
22_44177989_44179148	1159	noRNA	MPPED1	0.0908497	0
22_44179149_44186209	7060	RNA	EFCAB6-AS1	NA	1
22_44192311_44196791	4480	noRNA	EFCAB6-AS1	NA	1
22_44203072_44206298	3226	noRNA	EFCAB6-AS1	NA	0
22_44220609_44244729	24120	RNA	MPPED1	0.0908497	1
22_44263818_44268384	4566	noRNA	Z82214.2	NA	0
22_44328687_44350472	21785	RNA	Z82214.2	NA	1
22_44356750_44368763	12013	noRNA	RP1-32I10.10	NA	0
22_44376568_44377895	1327	noRNA	RP1-32I10.10	NA	0
22_44386665_44389094	2429	RNA	RP1-32I10.10;PRR5	NA;11.761906387	0
22_44397376_44402737	5361	RNA	RP1-32I10.10;LDOC1L;PRR5	NA;14.9484;11.761906387	1
22_44402936_44408757	5821	RNA	KIAA1644	3.92421	0
22_44413542_44416581	3039	RNA	PRR5	11.761906387	0
22_44419810_44427928	8118	noRNA	KIAA1644;RP1-32I10.10;LDOC1L;PRR5	3.92421;NA;14.9484;11.761906387	0
22_44429452_44443601	14149	RNA	KIAA1644	3.92421	0
22_44443602_44453256	9654	RNA	KIAA1644;PRR5	3.92421;11.761906387	0
22_44453257_44456915	3658	noRNA	RP1-32I10.10;PRR5	NA;11.761906387	0
22_44456916_44463766	6850	RNA	KIAA1644;RP1-32I10.10	3.92421;NA	1
22_44463767_44477204	13437	RNA	KIAA1644;RP1-32I10.10;LDOC1L;KRT18P23;LINC00207;PRR5	3.92421;NA;14.9484;0.0279089;NA;11.761906387	1
22_44477205_44479162	1957	RNA	KIAA1644;RP1-32I10.10;LDOC1L;PRR5	3.92421;NA;14.9484;11.761906387	1
22_44479163_44489527	10364	RNA	RP1-32I10.10	NA	1
22_44551597_44553948	2351	RNA	PRR5	11.761906387	0
22_44594715_44609225	14510	RNA	KRT18P23;LINC00207	0.0279089;NA	0
22_44832979_44833928	949	noRNA	PARVB;SAMM50	18.766697;63.6280237	0
22_44912336_44921884	9548	RNA	RP4-796I17.5;SAMM50	0.121653;63.6280237	0
22_44939263_44948154	8891	RNA	SULT4A1;RP4-796I17.5;SAMM50	8.351768;0.121653;63.6280237	0
22_44968340_44975074	6734	RNA	RP1-32I10.10	NA	0
22_44980669_44984714	4045	noRNA	RP4-796I17.5;SAMM50	0.121653;63.6280237	0
22_44999024_45003701	4677	RNA	RP4-796I17.5;SAMM50;PARVB;SAMM50	0.121653;63.6280237;18.766697;63.6280237	0
22_45193418_45218773	25355	RNA	EIF4ENIF1;RP11-247I13.11;CTA-217C2.1;CTA-217C2.2;NUP50	18.932138;NA;NA;NA;70.0215470048965	1
22_45425469_45436273	10804	RNA	RIBC2;SMC1B	2.305769;0.0557927182152	0
22_45657914_45666394	8480	RNA	RP6-109B7.4	NA	1
22_45666395_45668229	1834	noRNA	CTA-941F9.9	NA	0
22_45668230_45672838	4608	RNA	FBLN1;ATXN10	111.9598002;253.767455	0
22_45948425_45949910	1485	noRNA	CR536603.1;WNT7B	NA;0.07011232	1
22_45976914_45985793	8879	RNA	RP6-109B7.4	NA	0
22_45985794_45990379	4585	RNA	C22orf26;FLJ27365;LINC00899;RP6-109B7.2;RP6-109B7.3;RP6-109B7.5	NA;NA;NA;NA;NA;NA	0
22_45990380_45993600	3220	noRNA	RP6-109B7.4	NA	0
22_46039210_46049162	9952	RNA	CR536603.1;WNT7B	NA;0.07011232	1
22_46215477_46225178	9701	RNA	ATXN10	253.767455	0
22_46244751_46250598	5847	noRNA	CTA-941F9.9	NA	0
22_46250599_46263445	12846	RNA	UPK3A;CTA-941F9.9	0;NA	1
22_46268647_46280025	11378	RNA	UPK3A;CTA-941F9.9	0;NA	0
22_46283990_46289421	5431	RNA	CTA-941F9.9;PKDREJ;TTC38	NA;0.0865857;20.036089	0
22_46291973_46325985	34012	RNA	CTA-941F9.9	NA	1
22_46379740_46388112	8372	RNA	CTA-941F9.9	NA	0
22_46518413_46524876	6463	RNA	TRMU	74.839549449729	1
22_46524877_46531746	6869	RNA	ATXN10;CDPF1;PKDREJ;TTC38;CELSR1;RP3-439F8.1	253.767455;11.400312;0.0865857;20.036089;6.782498;NA	1
22_46569442_46576431	6989	noRNA	CTA-941F9.9	NA	0
22_46578623_46594421	15798	RNA	RNU6-1161P	NA	0
22_46630643_46637400	6757	noRNA	RP6-109B7.4;CELSR1;RP3-439F8.1	NA;6.782498;NA	0
22_46712637_46717560	4923	RNA	TEF;CELSR1;RP3-439F8.1	3.427965;6.782498;NA	0
22_46733868_46740516	6648	noRNA	CELSR1;RP3-439F8.1	6.782498;NA	0
22_46797549_46802170	4621	noRNA	CELSR1;RP3-439F8.1	6.782498;NA	0
22_46845626_46852069	6443	RNA	CELSR1;RP3-439F8.1	6.782498;NA	1
22_46922144_46924170	2026	noRNA	C22orf26;FLJ27365;LINC00899;RP6-109B7.2;RP6-109B7.3;RP6-109B7.5;MIR4763;MIRLET7A3;MIRLET7B	NA;NA;NA;NA;NA;NA;NA;NA;NA	0
22_46978107_46984436	6329	RNA	TRMU	74.839549449729	0
22_46989197_46995916	6719	RNA	CERK	31.3614	1
22_47191623_47196927	5304	RNA	ALG12;CRELD2	33.47763;36.335903	1
22_47687667_47695503	7836	noRNA	LL22NC03-75H12.2	NA	0
22_48034169_48044485	10316	RNA	FAM19A5	15.26593	0
22_48305703_48307466	1763	noRNA	LL22NC03-75H12.2	NA	0
22_48327889_48331285	3396	noRNA	LL22NC03-75H12.2	NA	0
22_48353203_48355015	1812	noRNA	FAM19A5	15.26593	0
22_48494802_48502543	7741	noRNA	FAM19A5	15.26593	0
22_48606161_48623597	17436	RNA	FAM19A5	15.26593	0
22_49449487_49451157	1670	noRNA	RP1-29C18.10	NA	0
22_49542267_49549652	7385	noRNA	RP1-29C18.10	NA	0
22_50070345_50072199	1854	noRNA	AC007050.17;MED15	NA;30.467689	0
22_50096967_50123220	26253	RNA	AL954742.1	NA	1
22_50156032_50166353	10321	RNA	IL17REL	0.0191788	1
22_50170808_50175312	4504	RNA	MLC1;TTLL8	0.00931674;0	0
22_50248894_50264335	15441	RNA	KIAA1644	3.92421	1
22_50266877_50269531	2654	noRNA	MOV10L1	0.0884206	0
22_50306035_50308808	2773	noRNA	CBY1;RP3-508I15.10;RP3-508I15.9;TOMM22	29.056028;NA;NA;132.401	0
22_50333273_50348512	15239	RNA	PPP6R2	29.89748306	0
22_50451829_50458355	6526	RNA	ALG12;CRELD2	33.47763;36.335903	0
22_50574196_50581822	7626	RNA	ELFN2;RP1-63G5.5	0.3065937;NA	1
22_50581823_50588852	7029	RNA	RP3-402G11.26;RP3-402G11.27;RP3-402G11.28;SELO	NA;NA;NA;15.80402	1
22_50629791_50638609	8818	RNA	AL022328.1;HDAC10;MAPK11;MAPK12;PLXNB2;TUBGCP6	NA;15.9931077017004;0.883715467545;27.271628;44.336534;14.97675	0
22_50798086_50801864	3778	RNA	ADM2;SBF1;LMF2;NCAPH2	3.45079;26.75295;26.37324;52.110773	0
22_50859686_50864812	5126	RNA	PLXNB2;ADM2;SBF1;LMF2;NCAPH2;SYCE3	44.336534;3.45079;26.75295;26.37324;52.110773;0.24882	0
22_50883095_50889153	6058	RNA	AL022328.1;HDAC10;MAPK11;MAPK12;PLXNB2;TUBGCP6;LMF2;NCAPH2	NA;15.9931077017004;0.883715467545;27.271628;44.336534;14.97675;26.37324;52.110773	1
22_50889234_50896793	7559	RNA	CHKB;MAPK8IP2	33.801042340906;2.274774	1
22_50896794_50904927	8133	RNA	AL022328.1;HDAC10;MAPK11;MAPK12;PLXNB2;TUBGCP6;PLXNB2	NA;15.9931077017004;0.883715467545;27.271628;44.336534;14.97675;44.336534	0
22_51134732_51152416	17684	RNA	LMF2;NCAPH2;SYCE3;ARSA	26.37324;52.110773;0.24882;8.28830800022965	1
2_100203272_100205421	2149	RNA	C2orf15;LYG1	1.9850526;0.527519	0
2_100315200_100319413	4213	noRNA	AFF3	0.99533081	0
2_100328032_100333498	5466	noRNA	RNU6-1007P	NA	0
2_100352740_100356023	3283	noRNA	LONRF2	0.0489204	0
2_100356024_100363405	7381	noRNA	TMEM163	0.45507905	0
2_100382465_100389743	7278	RNA	AC092667.2;AFF3	NA;0.99533081	0
2_100510560_100512788	2228	noRNA	AFF3	0.99533081	0
2_100634354_100638054	3700	RNA	AC018690.1	NA	0
2_100794936_100801028	6092	noRNA	AC018690.1	NA	0
2_100851112_100856280	5168	noRNA	AC018690.1;AC092667.2;AFF3	NA;NA;0.99533081	1
2_100856281_100858697	2416	noRNA	AC092667.2;AFF3	NA;0.99533081	0
2_100858698_100878213	19515	RNA	AC018690.1;AFF3	NA;0.99533081	1
2_100878214_100885984	7770	RNA	AC092667.2;AFF3	NA;0.99533081	1
2_100889242_100892688	3446	noRNA	REV1	24.259606	0
2_101130440_101140979	10539	RNA	AC016738.4;RPL31	NA;2831.682616	0
2_101210940_101215193	4253	RNA	AC016738.3	NA	1
2_101215194_101220824	5630	noRNA	AC092168.2;NPAS2;AC016738.3;AC016738.4;RPL31	NA;1.41469367;NA;NA;2831.682616	0
2_101220825_101224841	4016	RNA	AC092168.2;NPAS2;AC016738.3;AC016738.4;RPL31	NA;1.41469367;NA;NA;2831.682616	1
2_101224961_101225805	844	RNA	AC016738.4;RPL31	NA;2831.682616	0
2_101225806_101227040	1234	RNA	AC092168.2;NPAS2;AC016738.3;AC016738.4;RPL31	NA;1.41469367;NA;NA;2831.682616	1
2_101227041_101237539	10498	RNA	AC016738.3;AC016738.4;RPL31;NA	NA;NA;2831.682616;NA	0
2_101239215_101249761	10546	RNA	AC016738.3;AC016738.4;RPL31	NA;NA;2831.682616	0
2_101258424_101259762	1338	noRNA	AC016738.4;RPL31	NA;2831.682616	1
2_101266924_101275066	8142	RNA	AC016738.4;RPL31	NA;2831.682616	0
2_101276538_101279542	3004	noRNA	AC016738.3	NA	0
2_101285306_101292626	7320	RNA	AC016738.3	NA	0
2_101303402_101305739	2337	noRNA	AC016738.3;AC016738.4;RPL31	NA;NA;2831.682616	0
2_101312418_101324124	11706	RNA	AC016738.3	NA	1
2_101335949_101343307	7358	RNA	AC016738.3;AC016738.4;RPL31	NA;NA;2831.682616	0
2_101347995_101355720	7725	RNA	AC016738.3;AC016738.4;RPL31	NA;NA;2831.682616	0
2_101360945_101366568	5623	RNA	AC016738.3	NA	0
2_101370468_101372931	2463	noRNA	RNU7-46P	NA	0
2_101401132_101403854	2722	noRNA	AC016738.4;RPL31	NA;2831.682616	0
2_101403855_101410477	6622	RNA	AC016738.3	NA	0
2_101555440_101560533	5093	RNA	PDCL3	45.30696	0
2_101560534_101565945	5411	noRNA	AC092168.2;NPAS2;RNU6-1007P	NA;1.41469367;NA	0
2_101596773_101611376	14603	RNA	AC092168.2;NPAS2	NA;1.41469367	1
2_10167071_10169809	2738	noRNA	TNS1	1.208871599753	1
2_101801857_101811308	9451	noRNA	PDCL3;AC092168.2;NPAS2	45.30696;NA;1.41469367	1
2_101811309_101819151	7842	RNA	IL1R2	0.1982593117	0
2_101892735_101898554	5819	RNA	RNF149;SNORD89	14.192228;NA	1
2_101901197_101902917	1720	noRNA	AC007271.3	NA	0
2_101976485_101979812	3327	noRNA	IL18RAP	0	0
2_101988119_101989883	1764	noRNA	FLJ20373	NA	0
2_102016627_102025115	8488	noRNA	MAP4K4	111.85336551	1
2_102032324_102034201	1877	noRNA	MAP4K4	111.85336551	0
2_102035550_102045639	10089	RNA	FLJ20373	NA	1
2_102089570_102090262	692	noRNA	MAP4K4	111.85336551	0
2_102277886_102281798	3912	noRNA	NA	NA	0
2_102340101_102344879	4778	noRNA	RNF149;SNORD89	14.192228;NA	1
2_102357103_102361719	4616	noRNA	RFX8	0.060647	1
2_102378473_102385339	6866	noRNA	RNF149	14.192228	0
2_102403995_102407603	3608	noRNA	CREG2	0.7748535	0
2_10242964_10254084	11120	RNA	ROCK2	15.108257	0
2_102445332_102447965	2633	noRNA	RFX8	0.060647	1
2_102467789_102471212	3423	noRNA	RFX8	0.060647	0
2_102471213_102473408	2195	RNA	RNF149;SNORD89	14.192228;NA	0
2_102484715_102487441	2726	noRNA	RFX8	0.060647	0
2_102489628_102492954	3326	noRNA	IL1RL2	0	1
2_102501909_102507521	5612	noRNA	RNF149;SNORD89	14.192228;NA	0
2_102617056_102623411	6355	noRNA	RFX8	0.060647	1
2_102633521_102636590	3069	RNA	IL1RL2	0	0
2_102636591_102642523	5932	noRNA	AC007271.3;IL1RL2;SLC9A4	NA;0;0.399974	1
2_102642524_102650265	7741	noRNA	AC007271.3;IL1RL2;SLC9A4	NA;0;0.399974	0
2_10264815_10268527	3712	noRNA	SNORA80B;ODC1;RP11-320M2.1;AC092687.5	NA;272.4004;NA;NA	1
2_10269109_10275663	6554	noRNA	SNORA80B	NA	1
2_10275664_10276516	852	noRNA	ODC1;RP11-320M2.1	272.4004;NA	0
2_102849401_102853360	3959	noRNA	IL1R1	0.3782062	1
2_10296461_10313326	16865	RNA	SNORA80B;ODC1;RP11-320M2.1	NA;272.4004;NA	1
2_102981245_102998115	16870	RNA	IL1R1	0.3782062	0
2_103078420_103083237	4817	RNA	SLC9A2	0.0308646	0
2_103093853_103098562	4709	noRNA	SLC9A2	0.0308646	1
2_103133871_103143908	10037	noRNA	SLC9A2	0.0308646	1
2_103211242_103215952	4710	noRNA	SLC9A4	0.399974	1
2_103271930_103278511	6581	noRNA	IL18R1;IL1RL1	0.2476173;0.0529546	0
2_103323309_103325431	2122	noRNA	IL18R1;IL1RL1	0.2476173;0.0529546	0
2_10350638_10366413	15775	RNA	DOK1;LOXL3	14.956709;20.870674266	1
2_103623435_103632863	9428	noRNA	SNORA72	NA	1
2_10371102_10384782	13680	RNA	ODC1;RP11-320M2.1	272.4004;NA	1
2_103803027_103808353	5326	noRNA	SNORA72	NA	0
2_10389831_10398569	8738	noRNA	SNORA80B;ODC1;RP11-320M2.1	NA;272.4004;NA	1
2_103901838_103907030	5192	noRNA	SNORA72	NA	1
2_10398570_10402563	3993	noRNA	NRBP1;PPM1G	122.471659;192.533379	0
2_10405741_10413809	8068	noRNA	ODC1;RP11-320M2.1	272.4004;NA	1
2_104188125_104194884	6759	noRNA	ZNF2;ZNF514	1.830085552;7.90359	0
2_104580064_104589158	9094	noRNA	LINC01158;POU3F3;RP11-13J10.1	NA;0.0338435;NA	0
2_104648349_104650377	2028	noRNA	SNORA72	NA	1
2_104650378_104655141	4763	noRNA	SNORA72	NA	0
2_10468068_10469299	1231	noRNA	AC010969.1;RP11-254F7.1	NA;NA	0
2_104737274_104743628	6354	noRNA	SNORA72	NA	0
2_104743629_104744704	1075	noRNA	IL18R1;IL1RL1	0.2476173;0.0529546	0
2_10488105_10491146	3041	noRNA	AC104794.4	NA	0
2_105279517_105286307	6790	RNA	IL1R1	0.3782062	0
2_10530833_10537468	6635	RNA	SNORA2	NA	0
2_105407666_105408720	1054	noRNA	CHMP3;RNU6-640P	25.9622187;NA	0
2_105463881_105466817	2936	noRNA	U3	NA	1
2_105483224_105494953	11729	RNA	SLC9A2;LINC01158;POU3F3;RP11-13J10.1	0.0308646;NA;0.0338435;NA	1
2_105500936_105510815	9879	RNA	AC010884.1;MRPS9	NA;72.971631	0
2_10552087_10555746	3659	RNA	RRM2	238.686936	0
2_10555747_10564594	8847	RNA	SNORA2;SNORA51;HPCAL1	NA;NA;7.53306782956	0
2_10564595_10566999	2404	noRNA	RRM2	238.686936	0
2_10571133_10575317	4184	RNA	CYS1;AC104794.4;SNORA26;RRM2;C2orf48;SNORA51;HPCAL1	0.0738409;NA;NA;238.686936;NA;NA;7.53306782956	1
2_105731003_105732499	1496	noRNA	AC012360.1;GPR45;RP11-332H14.1	NA;0.0789182;NA	1
